0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0.2948,2.466,0.03323,797.8,19.19,16.02,123.8,0.09975,23.24,33.88,0.1459,0.3795,0.1181,40.51,1150.0,0.03299
0.2827,1.67,0.037,464.1,13.5,12.32,86.97,0.09391,12.39,15.64,0.1242,0.236,0.1385,17.43,549.1,0.03987
0.2488,2.552,0.01867,514.5,14.4,12.85,91.63,0.05601,21.37,27.01,0.1838,0.4993,0.09402,41.24,645.8,0.06126
0.2866,3.466,0.09711,685.0,16.35,14.9,125.4,0.2475,22.53,27.57,0.9019,0.253,0.1419,24.19,832.7,0.2733
0.2341,5.632,0.07731,1094.0,21.31,18.61,139.9,0.149,20.25,27.26,0.3446,0.8529,0.1338,93.54,1403.0,0.149
0.1648,21.98,0.1595,2499.0,28.11,28.11,188.5,0.1595,18.47,18.47,0.3201,2.873,0.1142,525.6,2499.0,0.3201
0.3379,1.441,0.01863,443.3,13.67,12.0,87.78,0.07632,15.65,24.9,0.2267,0.2271,0.1377,16.16,567.9,0.04151
0.3591,2.657,0.05598,633.0,15.89,14.25,116.2,0.1447,21.72,30.36,0.5186,0.286,0.1446,24.91,799.6,0.1319
0.2884,3.142,0.03438,565.4,17.98,13.43,116.6,0.116,19.63,29.87,0.2644,0.4697,0.1401,43.4,993.6,0.05858
0.2238,5.144,0.06022,1306.0,24.22,20.48,161.7,0.1445,21.46,26.17,0.3158,0.6874,0.1228,83.5,1750.0,0.09042
0.2654,4.174,0.06553,716.6,18.51,15.08,121.2,0.1526,25.74,33.22,0.4029,0.6534,0.166,63.37,1050.0,0.1235
0.2856,5.82,0.1878,2250.0,33.12,27.22,220.8,0.2688,21.87,32.85,0.534,0.8361,0.1472,128.7,3216.0,0.2871
0.3174,2.569,0.01514,289.1,11.14,9.667,70.88,0.0656,18.49,25.62,0.1277,0.3776,0.1234,22.73,385.2,0.02948
0.3799,4.293,0.1009,1076.0,22.82,18.65,150.6,0.2378,17.6,21.32,0.7345,0.6289,0.1679,71.56,1567.0,0.1974
0.274,2.684,0.02069,407.4,12.97,11.5,83.12,0.06544,18.45,22.46,0.08105,0.3927,0.1183,26.99,508.9,0.02638
0.2522,2.279,0.02957,662.7,16.11,14.62,102.9,0.06946,24.02,29.11,0.09189,0.3721,0.1115,33.76,803.7,0.03102
0.338,1.231,0.0337,513.7,13.74,12.95,88.81,0.1056,16.02,19.93,0.2241,0.2094,0.1483,17.67,585.4,0.06155
0.2465,3.198,0.03791,441.0,13.24,11.94,92.2,0.1155,20.76,27.29,0.2365,0.2742,0.1116,21.91,546.1,0.06574
0.2785,1.52,0.01349,437.6,13.1,11.94,83.67,0.06296,18.24,21.33,0.09203,0.2273,0.1144,17.47,527.2,0.01972
0.1917,1.047,0.006423,481.6,13.34,12.49,84.48,0.02784,16.85,19.71,0.01938,0.1716,0.1104,12.69,544.2,0.004473
0.24,1.831,0.0223,394.1,12.33,11.31,78.0,0.06961,19.04,23.84,0.1444,0.2727,0.129,18.15,466.7,0.03709
0.3518,1.443,0.03152,551.1,15.35,13.46,101.9,0.1427,18.75,25.16,0.2654,0.1998,0.1624,16.07,719.8,0.04201
0.3067,6.146,0.07507,947.8,20.39,17.29,137.9,0.1528,22.13,27.24,0.2298,0.8348,0.1134,90.94,1295.0,0.09697
0.3038,3.014,0.05252,248.7,10.28,9.268,69.05,0.1025,12.87,16.38,0.2099,0.4076,0.1902,20.04,300.2,0.0973
0.2641,18.65,0.1689,2501.0,36.04,27.42,251.2,0.2625,26.27,31.37,0.6833,2.547,0.1357,542.2,4254.0,0.3635
0.2804,2.554,0.03132,420.5,13.32,11.68,86.57,0.09815,16.17,21.59,0.149,0.3713,0.1526,27.57,549.8,0.04279
0.3739,2.427,0.06158,545.2,17.38,13.28,113.1,0.1492,20.28,28.0,0.3664,0.3704,0.153,31.33,907.2,0.09847
0.2227,2.289,0.01875,334.2,10.93,10.51,70.1,0.03125,23.09,24.22,0.04158,0.2868,0.1143,20.56,362.7,0.02495
0.2768,5.865,0.09498,1260.0,27.32,19.81,186.8,0.2388,22.15,30.88,0.5372,0.7582,0.1512,112.4,2398.0,0.1479
0.3103,7.247,0.1237,1670.0,31.01,23.21,206.0,0.2593,26.97,34.51,0.582,1.058,0.1481,155.8,2944.0,0.195
0.232,1.525,0.03157,725.5,17.38,15.27,113.7,0.1035,12.91,15.92,0.2962,0.2134,0.1222,20.0,932.7,0.05892
0.3231,5.004,0.04846,476.7,13.78,12.45,97.82,0.1342,16.41,21.03,0.4896,0.3921,0.1175,30.19,580.6,0.1544
0.6638,3.445,0.1052,386.1,14.91,11.42,98.87,0.2575,20.38,26.5,0.6869,0.4956,0.2098,27.23,567.7,0.2414
0.2689,4.119,0.08941,1335.0,25.37,20.64,166.8,0.2112,17.35,23.17,0.4159,0.6137,0.1562,77.02,1946.0,0.1527
0.2937,1.348,0.01968,321.6,11.38,10.26,73.23,0.06696,12.22,15.65,0.08615,0.1911,0.1343,11.88,394.5,0.01923
0.253,1.954,0.01877,664.9,16.46,14.61,103.7,0.05813,15.69,21.75,0.04746,0.316,0.1011,28.9,840.8,0.01447
0.3163,2.31,0.03876,693.7,16.76,14.99,110.2,0.1308,22.11,31.55,0.3114,0.3186,0.1077,28.51,867.1,0.06859
0.2218,3.425,0.05302,858.1,18.98,16.6,126.7,0.1418,28.08,34.12,0.3403,0.4564,0.1139,48.55,1124.0,0.09251
0.2533,2.747,0.01778,290.2,11.05,9.777,71.68,0.05334,16.99,21.47,0.13,0.403,0.1467,22.87,367.0,0.04334
0.2637,2.028,0.02424,546.1,14.2,13.3,92.94,0.05614,21.57,29.2,0.1212,0.2621,0.114,20.98,621.2,0.03344
0.3019,2.629,0.07041,793.2,18.76,16.03,124.3,0.1981,15.51,21.98,0.4956,0.3371,0.1435,33.27,1070.0,0.1204
0.2346,1.449,0.01723,571.8,14.67,13.64,96.08,0.08586,16.34,23.19,0.105,0.1872,0.1089,14.55,656.7,0.01857
0.2171,1.466,0.005592,446.0,13.07,12.03,82.74,0.02796,17.93,22.25,0.007732,0.2335,0.1013,16.97,523.4,0.001546
0.3138,2.193,0.08353,928.2,19.85,17.3,130.9,0.1857,17.08,25.09,0.3378,0.3093,0.1416,33.63,1222.0,0.1266
0.2349,1.184,0.005159,307.3,11.11,10.03,69.92,0.02579,21.28,28.94,0.01235,0.1851,0.1126,11.6,376.3,0.00247
0.273,2.407,0.1255,1386.0,22.69,21.37,152.1,0.1966,15.1,21.84,0.4024,0.3414,0.1192,39.06,1535.0,0.1932
